time,"Altitude (GPS) (m)","Velocidade (GPS) (km/h)","Velocidade média (GPS) (km/h)",Latitude,Longtitude,
11:08:52.472,20.03424072265625,12.779999828338623,,-22.58915534,-43.28515495,
11:08:53.707,19.9271240234375,16.956000137329102,16.956000137329102,-22.58916834,-43.28521678,
11:08:54.964,18.75079345703125,17.13600082397461,17.046767821404575,-22.58916737,-43.28527581,
11:08:56.217,19.29913330078125,16.91999931335449,17.004351388140165,-22.58915699,-43.28534145,
11:08:57.468,19.92926025390625,17.963999176025393,17.244691070324365,-22.58917061,-43.28540379,
11:08:58.730,20.03240966796875,21.70800075531006,18.14438762131638,-22.58915804,-43.28547499,
11:08:59.990,19.022216796875,22.968000411987305,18.95314731939919,-22.58916115,-43.28555279,
11:09:01.243,17.06610107421875,26.1,19.973825584352237,-22.5891668,-43.28563939,
11:09:02.491,16.70452880859375,26.568000411987306,20.79493000520049,-22.58917621,-43.28573116,
11:09:03.736,17.98333740234375,27.252000617980958,21.508831505489713,-22.5891554,-43.28582419,
11:09:04.987,18.006103515625,30.383998489379884,22.39621687115408,-22.58911492,-43.28591156,
11:09:06.240,18.45526123046875,32.004001235961915,23.270581619034004,-22.58904682,-43.28599779,
11:09:07.495,18.09930419921875,30.67200164794922,23.888835451841917,-22.58896284,-43.28606275,
11:09:08.742,18.09674072265625,28.87200164794922,24.27063424161524,-22.58888051,-43.28611506,
11:09:09.977,17.890625,30.348001098632814,24.699464310506468,-22.58878522,-43.28613414,
11:09:11.212,17.6937255859375,30.204001235961915,25.062066160934446,-22.58869027,-43.28612404,
11:09:12.453,18.64080810546875,31.751998901367188,25.47758772317916,-22.58859355,-43.28610021,
11:09:13.682,18.94354248046875,30.960001373291018,25.795359502881865,-22.58849825,-43.28606966,
11:09:14.919,18.83892822265625,31.968000411987305,26.135533766894138,-22.5884047,-43.28603163,
11:09:16.163,19.5186767578125,31.572001647949218,26.42107878465316,-22.58831963,-43.28598654,
11:09:17.426,20.48602294921875,32.0759994506836,26.70725742387988,-22.58822164,-43.28593182,
11:09:18.690,20.9661865234375,32.47200164794922,26.98508437698028,-22.58812678,-43.28589156,
11:09:19.946,21.5579833984375,31.248001098632812,27.180023138962323,-22.58803563,-43.2858383,
11:09:21.183,21.7235107421875,30.060001373291016,27.304099700808237,-22.58793601,-43.28579075,
11:09:22.435,22.024658203125,33.26399917602539,27.55321371615374,-22.58784054,-43.28575365,
11:09:23.678,22.3919677734375,32.292000961303714,27.74197682752488,-22.5877408,-43.28574561,
11:09:24.940,21.2977294921875,31.463999176025393,27.886644423632717,-22.58763932,-43.28575375,
11:09:26.170,21.26666259765625,34.09200096130371,28.113026766130854,-22.58754655,-43.28575545,
11:09:27.411,20.9964599609375,34.66800041198731,28.34592720838737,-22.58744744,-43.28573668,
11:09:28.645,20.09967041015625,30.6,28.422803765232537,-22.58735147,-43.28570662,
11:09:29.888,20.570068359375,33.11999931335449,28.578870014209933,-22.58724763,-43.28567356,
11:09:31.137,21.23486328125,31.031999588012695,28.658078854679292,-22.58715776,-43.28563257,
11:09:32.378,21.39202880859375,31.968000411987305,28.761063851839875,-22.58705913,-43.28561014,
11:09:33.622,21.76385498046875,34.12799835205078,28.923239316958906,-22.58694287,-43.28557371,
11:09:34.860,21.16033935546875,31.968000411987305,29.012177772739882,-22.58684412,-43.28555014,
11:09:36.107,20.46685791015625,30.492000961303713,29.054482660747887,-22.58675598,-43.28552835,
11:09:37.347,19.97381591796875,32.76000137329102,29.156883955628725,-22.58665707,-43.28550322,
11:09:38.597,19.75555419921875,31.031999588012695,29.20767453897979,-22.58656137,-43.28546898,
11:09:39.847,19.15289306640625,33.04800109863282,29.309019582808023,-22.58645841,-43.28543934,
11:09:41.090,19.19427490234375,32.6879997253418,29.39538372616026,-22.5863633,-43.28542564,
11:09:42.322,18.986083984375,29.016001510620118,29.38600712773098,-22.58626803,-43.28539003,
11:09:43.574,16.36993408203125,29.412000274658205,29.386643926076196,-22.58619217,-43.28536137,
11:09:44.821,17.45098876953125,30.85199890136719,29.421558006518374,-22.58609861,-43.28531627,
11:09:46.062,17.43023681640625,28.76399917602539,29.406323469299174,-22.58601264,-43.28526561,
11:09:47.316,18.6883544921875,28.691999244689942,29.389996768139344,-22.58594605,-43.28520579,
11:09:48.571,18.906494140625,29.304001235961916,29.388073255762478,-22.58589148,-43.28511871,
11:09:49.815,18.64617919921875,28.76399917602539,29.374527851230383,-22.58585781,-43.28502978,
11:09:51.033,17.5926513671875,30.960001373291018,29.407485928091702,-22.58585728,-43.28493127,
11:09:52.273,17.7349853515625,31.5,29.450901470123206,-22.58584337,-43.28482137,
11:09:53.516,18.35064697265625,31.824000549316406,29.499213254669066,-22.58583539,-43.28471421,
11:09:54.775,19.102294921875,31.283998489379883,29.53526500683378,-22.58583312,-43.28460258,
11:09:56.008,17.81304931640625,31.7879997253418,29.57898121168933,-22.58583662,-43.28449908,
11:09:57.254,16.5955810546875,32.43600082397461,29.633951634078965,-22.58584924,-43.28439257,
11:09:58.505,18.8155517578125,32.4,29.68634343701968,-22.58584479,-43.28427871,
11:09:59.828,19.22210693359375,31.139998626708984,29.714897180075408,-22.58584728,-43.28416066,
11:10:01.083,19.77490234375,29.268000411987305,29.70672294063253,-22.5858568,-43.28405901,
11:10:02.385,19.91290283203125,32.039998626708986,29.750173018319348,-22.58589145,-43.28395394,
11:10:03.613,21.24957275390625,30.63600082397461,29.765466838961903,-22.5859344,-43.28386208,
11:10:04.847,22.80438232421875,29.987999725341798,29.769259791306904,-22.58598468,-43.28378487,
11:10:06.069,21.111083984375,32.79599876403809,29.819540968503276,-22.5860346,-43.28369707,
11:10:07.331,22.11248779296875,33.83999862670898,29.887323565598358,-22.58609143,-43.28360282,
11:10:08.580,22.1083984375,35.17200164794922,29.974063016897098,-22.58615299,-43.28351128,
11:10:09.814,20.4613037109375,34.38000068664551,30.044322577788847,-22.58620272,-43.28341622,
11:10:11.057,19.63232421875,33.08399848937989,30.09240983272034,-22.58626836,-43.28331332,
11:10:12.279,18.493896484375,30.492000961303713,30.098526720597782,-22.58631556,-43.28322057,
11:10:13.528,17.74945068359375,33.7319995880127,30.154514722283782,-22.58636605,-43.28311773,
11:10:14.784,16.71044921875,32.939998626708984,30.197022862990043,-22.58642447,-43.28302109,
11:10:17.291,16.7933349609375,33.22799835205078,30.28661528974265,-22.58653474,-43.28283865,
11:10:18.533,16.2083740234375,33.587999725341795,30.33425407173979,-22.58660438,-43.28273673,
11:10:19.774,16.95574951171875,32.18399848937988,30.3605464975147,-22.58666361,-43.28265086,
11:10:21.028,17.4337158203125,31.572001647949218,30.377699385821057,-22.58672378,-43.28257131,
11:10:22.284,17.15594482421875,30.960001373291018,30.38584280567325,-22.58680385,-43.28250908,
11:10:23.552,18.0537109375,32.21999931335449,30.411379198875196,-22.58690441,-43.28246552,
11:10:24.819,16.19451904296875,33.26399917602539,30.45051633715931,-22.58700342,-43.28242307,
11:10:26.082,14.56536865234375,34.0560001373291,30.49919135320047,-22.58710099,-43.28238485,
11:10:27.334,13.45477294921875,35.60400123596192,30.566542473610628,-22.5872099,-43.28234762,
11:10:28.569,13.12762451171875,32.975999450683595,30.597501902081365,-22.58730402,-43.28232174,
11:10:29.801,13.0616455078125,33.26399917602539,30.631272179516724,-22.58739695,-43.28228161,
11:10:31.049,12.00653076171875,31.824000549316406,30.646371339037476,-22.58748502,-43.28222778,
11:10:32.294,11.02398681640625,32.0759994506836,30.664192945738904,-22.58756875,-43.28214967,
11:10:33.545,12.05322265625,33.912000274658205,30.704394475292407,-22.58763238,-43.28207261,
11:10:34.783,12.8226318359375,33.7319995880127,30.741048201268196,-22.58768284,-43.28197515,
11:10:36.035,12.83734130859375,34.3439998626709,30.784603511687845,-22.5877351,-43.28187928,
11:10:37.278,13.67218017578125,33.83999862670898,30.820832077059073,-22.58779848,-43.28178902,
11:10:38.538,13.89703369140625,29.7,30.807514150070382,-22.58786517,-43.28171158,
11:10:39.780,13.46026611328125,28.224000549316408,30.777616030266827,-22.58795025,-43.28166463,
11:10:41.037,13.77398681640625,31.068000411987306,30.78097927134002,-22.588046,-43.28164331,
11:10:42.283,13.41094970703125,32.616001510620116,30.801797630861746,-22.58815686,-43.28163165,
11:10:43.530,14.146728515625,34.38000068664551,30.84195371556276,-22.58825974,-43.28162503,
11:10:44.772,13.9853515625,36,30.89902569463188,-22.58836476,-43.28161129,
11:10:46.042,11.760589599609375,35.28000068664551,30.947995543993787,-22.58846954,-43.28159303,
11:10:47.299,12.848876953125,34.09200096130371,30.982429630577194,-22.58857878,-43.28157629,
11:10:48.559,12.10980224609375,31.139998626708984,30.984139242308785,-22.58867155,-43.28156364,
11:10:49.802,13.14154052734375,30.995998764038088,30.984264889405512,-22.58877747,-43.28158203,
11:10:51.067,13.71661376953125,26.784000205993653,30.939449784823058,-22.58884626,-43.28164099,
11:10:52.315,14.16485595703125,27.03600082397461,30.89880300724927,-22.58887949,-43.28173396,
11:10:53.558,15.0504150390625,28.296000480651855,30.872097226815058,-22.58889016,-43.28183201,
11:10:54.815,15.6063232421875,31.463999176025393,30.878179648344645,-22.58890236,-43.28193571,
11:10:56.065,15.09765625,33.875999450683594,30.908509365782134,-22.58891607,-43.28203946,
11:10:57.322,15.773193359375,35.02799835205078,30.949976198763835,-22.58892665,-43.28215946,
11:10:58.564,15.904541015625,37.00799903869629,31.009628303353796,-22.5889343,-43.28228285,
11:10:59.812,17.66192626953125,39.7439998626709,31.09524934243836,-22.58894304,-43.28241255,
11:11:01.057,17.5538330078125,38.80799903869629,31.16993238250725,-22.58895413,-43.28254711,
11:11:02.293,17.25787353515625,37.3680004119873,31.228954376440694,-22.58896519,-43.2826797,
11:11:03.582,16.909423828125,35.02799835205078,31.26630852466276,-22.58896651,-43.28280979,
11:11:04.834,16.79290771484375,31.60799903869629,31.26953933576541,-22.58898122,-43.28291639,
11:11:06.107,17.89190673828125,28.691999244689942,31.24498089263798,-22.58899457,-43.28301987,
11:11:07.368,17.8123779296875,27.612000274658204,31.21103566688561,-22.58900901,-43.28310677,
11:11:08.605,18.75726318359375,26.424000549316407,31.167510579285985,-22.58899707,-43.28319517,
11:11:09.860,18.79071044921875,26.13600082397461,31.12156872865602,-22.58896402,-43.28327363,
11:11:11.106,19.06732177734375,23.47199993133545,31.05279232245107,-22.58891078,-43.28332726,
11:11:12.333,18.67315673828125,24.3,30.99353903149278,-22.58883836,-43.28335612,
11:11:13.571,19.0386962890625,27.900000000000002,30.966401844293255,-22.58874516,-43.28335363,
11:11:14.821,19.6483154296875,28.90799903869629,30.948324123036123,-22.58865656,-43.28336128,
11:11:16.087,19.4293212890625,29.88000068664551,30.938908163674505,-22.58856151,-43.28337476,
11:11:17.337,19.19952392578125,28.76399917602539,30.920142438642273,-22.58847167,-43.28338319,
11:11:18.590,17.32647705078125,28.512000274658202,30.899499737952926,-22.58837284,-43.28339491,
11:11:19.833,17.8011474609375,28.87200164794922,30.88239007856677,-22.58828817,-43.28339479,
11:11:21.086,17.3494873046875,27.756000137329103,30.85603497317115,-22.58819833,-43.2834224,
11:11:22.366,16.879638671875,26.89199924468994,30.82219561017634,-22.58812345,-43.28346578,
11:11:23.610,17.54779052734375,24.875999450683594,30.77325128789253,-22.58806684,-43.28352528,
11:11:24.870,18.05169677734375,26.640000343322754,30.739073551580613,-22.58804759,-43.28360679,
11:11:26.115,17.78173828125,25.163999176025392,30.693874523103784,-22.58805548,-43.28368212,
11:11:27.370,17.36138916015625,23.652000617980956,30.636830288914208,-22.58809376,-43.28374989,
11:11:28.611,16.2696533203125,24.012000274658202,30.584199104741394,-22.58815122,-43.28377265,
11:11:29.851,15.072265625,25.452000617980957,30.54374538283882,-22.58822151,-43.28379757,
11:11:31.095,14.87255859375,25.91999931335449,30.50750330465715,-22.58831383,-43.28378688,
11:11:32.355,14.66973876953125,25.812000274658203,30.470476924737167,-22.58839966,-43.28377075,
11:11:33.580,14.9871826171875,27.359999656677246,30.446837353353768,-22.58848198,-43.28376938,
11:11:34.805,15.275634765625,27.431999588012697,30.42408422914756,-22.58856614,-43.28376408,
11:11:36.044,17.22882080078125,28.691999244689942,30.41096081273778,-22.58865743,-43.28376326,
11:11:37.295,17.03411865234375,29.339998626708987,30.402835096988202,-22.58873237,-43.2837553,
11:11:38.562,17.01165771484375,28.08000068664551,30.38511463237407,-22.58882188,-43.28375721,
11:11:39.809,16.840576171875,27.503999519348145,30.363633642622272,-22.58892283,-43.28374213,
11:11:41.070,17.015625,20.196000480651858,30.28759241602472,-22.58899808,-43.28374059,
11:11:42.329,14.337646484375,19.08000068664551,30.20456837587927,-22.58903653,-43.28378215,
11:11:43.577,14.36602783203125,18.647999382019044,30.12024257861653,-22.58906098,-43.28383467,
11:11:44.837,16.562744140625,20.484000205993652,30.049832070811213,-22.58907187,-43.28390526,
11:11:46.087,17.07733154296875,25.056000137329104,30.01387247364561,-22.58907723,-43.28398905,
11:11:47.336,18.2012939453125,25.596000480651856,29.982307108560978,-22.58908904,-43.28406787,
11:11:48.575,18.7799072265625,28.08000068664551,29.96892774635716,-22.58909605,-43.28414889,
11:11:49.824,18.653076171875,29.8439998626709,29.968047398419348,-22.58910526,-43.28424527,
11:11:51.056,18.471435546875,29.7,29.966199288901137,-22.58912069,-43.28433788,
11:11:52.294,19.39453125,30.6,29.97056320353936,-22.58912197,-43.28444269,
11:11:53.536,21.121337890625,30.131999588012697,29.971670389161304,-22.58913222,-43.28453717,
11:11:54.795,20.7479248046875,29.8439998626709,29.970788471733492,-22.58913458,-43.28464223,
11:11:56.042,21.392822265625,30.527998352050783,29.974573695493536,-22.58913529,-43.28475008,
11:11:57.301,20.88848876953125,28.25999965667725,29.962895586687942,-22.58913811,-43.28485484,
11:11:58.545,19.98687744140625,26.13600082397461,29.937307860807294,-22.58914021,-43.28495054,
11:11:59.809,18.193115234375,20.987999725341798,29.87693718363959,-22.58914688,-43.28504451,
11:12:01.053,17.71044921875,11.592000102996826,29.756302110163517,-22.58914399,-43.28510381,
11:12:02.277,18.20635986328125,3.3480000257492066,29.58596927944052,-22.58914169,-43.28513202,
11:12:03.531,18.94677734375,0,29.39176021927184,-22.58914457,-43.28513673,
11:12:04.783,18.7042236328125,0.7559999763965607,29.20545733032693,-22.58914337,-43.2851426,
11:12:06.053,18.30633544921875,0,29.0138603911827,-22.58914445,-43.28514325,
